isComplete,link,category
1,https://leetcode.com/problems/reverse-string,Strings
1,https://leetcode.com/problems/detect-capital,Strings
1,https://leetcode.com/problems/reverse-words-in-a-string-iii,Strings
1,https://leetcode.com/problems/valid-palindrome,Strings
1,https://leetcode.com/problems/reverse-vowels-of-a-string,Strings
1,https://leetcode.com/problems/longest-common-prefix,Strings
1,https://leetcode.com/problems/two-sum/,Arrays
1,https://leetcode.com/problems/number-of-islands/,Arrays
1,https://leetcode.com/problems/sort-array-by-parity,Arrays
1,https://leetcode.com/problems/transpose-matrix,Arrays
1,https://leetcode.com/problems/flipping-an-image,Arrays
1,https://leetcode.com/problems/merge-intervals,Sorting
1,https://leetcode.com/problems/valid-anagram,Sorting
1,https://leetcode.com/problems/array-partition,Sorting
1,https://leetcode.com/problems/find-all-anagrams-in-a-string,Sorting
1,https://leetcode.com/problems/sort-list/,Divide & Conquer
1,https://leetcode.com/problems/merge-k-sorted-lists/,Divide & Conquer
1,https://leetcode.com/problems/valid-parentheses,Stacks
1,https://leetcode.com/problems/baseball-game,Stacks
1,https://leetcode.com/problems/next-greater-element-i,Stacks
1,https://leetcode.com/problems/backspace-string-compare,Stacks
0,https://leetcode.com/problems/score-of-parentheses,Stacks
1,https://leetcode.com/problems/add-two-numbers/,Linked Lists
1,https://leetcode.com/problems/reverse-linked-list,Linked Lists
1,https://leetcode.com/problems/reverse-linked-list-ii,Linked Lists
0,https://leetcode.com/problems/odd-even-linked-list,Linked Lists
1,https://leetcode.com/problems/intersection-of-two-linked-lists,Linked Lists
0,https://leetcode.com/problems/reverse-nodes-in-k-group,Linked Lists
0,https://leetcode.com/problems/lru-cache,Linked Lists
1,https://leetcode.com/problems/validate-binary-search-tree/,Trees
0,https://leetcode.com/problems/n-ary-tree-postorder-traversal,Trees
1,https://leetcode.com/problems/leaf-similar-trees,Trees
0,https://leetcode.com/problems/same-tree,Trees
0,https://leetcode.com/problems/sum-of-left-leaves,Trees
0,https://leetcode.com/problems/diameter-of-binary-tree,Trees
0,https://leetcode.com/problems/longest-univalue-path,Trees
0,https://leetcode.com/problems/find-bottom-left-tree-value,Trees
1,https://leetcode.com/problems/group-anagrams/,Hashmaps and Sets
1,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Hashmaps and Sets
1,https://leetcode.com/problems/valid-anagram/,Hashmaps and Sets
1,https://leetcode.com/problems/jewels-and-stones,Hashmaps and Sets
0,https://leetcode.com/problems/unique-morse-code-words,Hashmaps and Sets
1,https://leetcode.com/problems/happy-number,Hashmaps and Sets
0,https://leetcode.com/problems/uncommon-words-from-two-sentences,Hashmaps and Sets
1,https://leetcode.com/problems/distribute-candies,Hashmaps and Sets
0,https://leetcode.com/problems/groups-of-special-equivalent-strings,Hashmaps and Sets
0,https://leetcode.com/problems/intersection-of-two-arrays,Hashmaps and Sets
0,https://leetcode.com/problems/valid-sudoku,Hashmaps and Sets
0,https://leetcode.com/problems/isomorphic-strings,Hashmaps and Sets
1,https://leetcode.com/problems/word-pattern,Hashmaps and Sets
0,https://leetcode.com/problems/design-hashmap,Hashmaps and Sets
0,https://leetcode.com/problems/design-hashset,Hashmaps and Sets
1,https://leetcode.com/problems/find-all-anagrams-in-a-string,Multiset (Bags)
1,https://leetcode.com/problems/first-unique-character-in-a-string,Multiset (Bags)
1,https://leetcode.com/problems/subdomain-visit-count,Multiset (Bags)
0,https://leetcode.com/problems/find-the-difference,Multiset (Bags)
1,https://leetcode.com/problems/sort-characters-by-frequency,Multiset (Bags)
0,https://leetcode.com/problems/most-common-word,Multiset (Bags)
1,https://leetcode.com/problems/sort-characters-by-frequency,Multiset (Bags)
0,https://leetcode.com/problems/set-mismatch,Multiset (Bags)
0,https://leetcode.com/problems/number-of-atoms,Multiset (Bags)
1,https://leetcode.com/problems/powx-n,Recursion Memoization
0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Recursion Memoization
0,https://leetcode.com/problems/edit-distance,Recursion Memoization
1,https://leetcode.com/problems/house-robber-ii,Recursion Memoization
0,https://leetcode.com/problems/regular-expression-matching/,Recursion Memoization
1,https://leetcode.com/problems/coin-change/,Dynamic Programming
0,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Dynamic Programming
0,https://leetcode.com/problems/edit-distance,Dynamic Programming
0,https://leetcode.com/problems/house-robber-ii,Dynamic Programming
0,https://leetcode.com/problems/regular-expression-matching/,Dynamic Programming
1,https://leetcode.com/problems/first-unique-character-in-a-string/,Queues
0,https://leetcode.com/problems/implement-stack-using-queues/,Queues
0,https://leetcode.com/problems/implement-queue-using-stacks/,Queues
0,https://leetcode.com/problems/rotate-array,Queues
1,https://leetcode.com/problems/course-schedule,Graphs
0,https://leetcode.com/problems/island-perimeter,Graphs
1,https://leetcode.com/problems/is-graph-bipartite,Graphs
0,https://leetcode.com/problems/word-search,Graphs
0,https://leetcode.com/problems/course-schedule-ii,Graphs
